"Table 176-0043 Financial market statistics, last Wednesday unless otherwise stated, Bank of Canada, monthly (percent)(1)"
Survey or program details:
Bank of Canada - 7502
Geography,Canada,Canada,Canada,Canada
Rates,Bank rate,Selected Government of Canada benchmark bond yields: 2 year,Selected Government of Canada benchmark bond yields: 5 year,Selected Government of Canada benchmark bond yields: 10 years
Jun-1970,7.00,..,..,..
Jul-1970,7.00,..,..,..
Aug-1970,7.00,..,..,..
Sep-1970,6.50,..,..,..
Oct-1970,6.50,..,..,..
Nov-1970,6.00,..,..,..
Dec-1970,6.00,..,..,..
Jan-1971,6.00,..,..,..
Feb-1971,5.25,..,..,..
Mar-1971,5.25,..,..,..
Apr-1971,5.25,..,..,..
May-1971,5.25,..,..,..
Jun-1971,5.25,..,..,..
Jul-1971,5.25,..,..,..
Aug-1971,5.25,..,..,..
Sep-1971,5.25,..,..,..
Oct-1971,4.75,..,..,..
Nov-1971,4.75,..,..,..
Dec-1971,4.75,..,..,..
Jan-1972,4.75,..,..,..
Feb-1972,4.75,..,..,..
Mar-1972,4.75,..,..,..
Apr-1972,4.75,..,..,..
May-1972,4.75,..,..,..
Jun-1972,4.75,..,..,..
Jul-1972,4.75,..,..,..
Aug-1972,4.75,..,..,..
Sep-1972,4.75,..,..,..
Oct-1972,4.75,..,..,..
Nov-1972,4.75,..,..,..
Dec-1972,4.75,..,..,..
Jan-1973,4.75,..,..,..
Feb-1973,4.75,..,..,..
Mar-1973,4.75,..,..,..
Apr-1973,5.25,..,..,..
May-1973,5.75,..,..,..
Jun-1973,6.25,..,..,..
Jul-1973,6.25,..,..,..
Aug-1973,6.75,..,..,..
Sep-1973,7.25,..,..,..
Oct-1973,7.25,..,..,..
Nov-1973,7.25,..,..,..
Dec-1973,7.25,..,..,..
Jan-1974,7.25,..,..,..
Feb-1974,7.25,..,..,..
Mar-1974,7.25,..,..,..
Apr-1974,8.25,..,..,..
May-1974,8.75,..,..,..
Jun-1974,8.75,..,..,..
Jul-1974,9.25,..,..,..
Aug-1974,9.25,..,..,..
Sep-1974,9.25,..,..,..
Oct-1974,9.25,..,..,..
Nov-1974,8.75,..,..,..
Dec-1974,8.75,..,..,..
Jan-1975,8.25,..,..,..
Feb-1975,8.25,..,..,..
Mar-1975,8.25,..,..,..
Apr-1975,8.25,..,..,..
May-1975,8.25,..,..,..
Jun-1975,8.25,..,..,..
Jul-1975,8.25,..,..,..
Aug-1975,8.25,..,..,..
Sep-1975,9.00,..,..,..
Oct-1975,9.00,..,..,..
Nov-1975,9.00,..,..,..
Dec-1975,9.00,..,..,..
Jan-1976,9.00,..,..,..
Feb-1976,9.00,..,..,..
Mar-1976,9.50,..,..,..
Apr-1976,9.50,..,..,..
May-1976,9.50,..,..,..
Jun-1976,9.50,..,..,..
Jul-1976,9.50,..,..,..
Aug-1976,9.50,..,..,..
Sep-1976,9.50,..,..,..
Oct-1976,9.50,..,..,..
Nov-1976,9.00,..,..,..
Dec-1976,8.50,..,..,..
Jan-1977,8.50,..,..,..
Feb-1977,8.00,..,..,..
Mar-1977,8.00,..,..,..
Apr-1977,8.00,..,..,..
May-1977,7.50,..,..,..
Jun-1977,7.50,..,..,..
Jul-1977,7.50,..,..,..
Aug-1977,7.50,..,..,..
Sep-1977,7.50,..,..,..
Oct-1977,7.50,..,..,..
Nov-1977,7.50,..,..,..
Dec-1977,7.50,..,..,..
Jan-1978,7.50,..,..,..
Feb-1978,7.50,..,..,..
Mar-1978,8.00,..,..,..
Apr-1978,8.50,..,..,..
May-1978,8.50,..,..,..
Jun-1978,8.50,..,..,..
Jul-1978,9.00,..,..,..
Aug-1978,9.00,..,..,..
Sep-1978,9.50,..,..,..
Oct-1978,10.25,..,..,..
Nov-1978,10.75,..,..,..
Dec-1978,10.75,..,..,..
Jan-1979,11.25,..,..,..
Feb-1979,11.25,..,..,..
Mar-1979,11.25,..,..,..
Apr-1979,11.25,..,..,..
May-1979,11.25,..,..,..
Jun-1979,11.25,..,..,..
Jul-1979,11.75,..,..,..
Aug-1979,11.75,..,..,..
Sep-1979,12.25,..,..,..
Oct-1979,14.00,..,..,..
Nov-1979,14.00,..,..,..
Dec-1979,14.00,..,..,..
Jan-1980,14.00,..,..,..
Feb-1980,14.00,..,..,..
Mar-1980,14.79,..,..,..
Apr-1980,15.67,..,..,..
May-1980,11.83,..,..,..
Jun-1980,10.67,..,..,..
Jul-1980,10.18,..,..,..
Aug-1980,10.45,..,..,..
Sep-1980,11.02,..,..,..
Oct-1980,11.76,..,..,..
Nov-1980,13.06,..,13.08,..
Dec-1980,17.26,..,12.53,..
Jan-1981,17.00,..,13.06,..
Feb-1981,17.14,..,13.56,..
Mar-1981,16.59,..,13.95,..
Apr-1981,17.40,..,15.41,..
May-1981,19.06,..,15.45,..
Jun-1981,19.07,..,15.65,..
Jul-1981,19.89,..,17.96,..
Aug-1981,21.03,..,17.63,..
Sep-1981,19.63,..,18.78,..
Oct-1981,18.30,..,17.15,..
Nov-1981,15.40,..,13.52,..
Dec-1981,14.66,..,15.24,..
Jan-1982,14.72,..,16.17,..
Feb-1982,14.74,..,15.00,..
Mar-1982,15.11,..,15.21,..
Apr-1982,15.32,..,15.08,..
May-1982,15.32,..,14.88,..
Jun-1982,16.58,16.40,15.98,16.39
Jul-1982,15.60,15.74,15.83,15.88
Aug-1982,14.26,13.64,13.79,14.26
Sep-1982,13.18,12.62,13.08,13.53
Oct-1982,11.53,11.38,12.30,12.58
Nov-1982,10.87,10.55,11.60,11.88
Dec-1982,10.26,10.03,10.42,11.31
Jan-1983,9.81,10.17,10.72,11.58
Feb-1983,9.43,10.02,10.48,11.19
Mar-1983,9.42,10.20,10.41,11.19
Apr-1983,9.46,9.92,10.26,10.90
May-1983,9.38,9.59,10.32,10.86
Jun-1983,9.42,9.82,10.66,11.29
Jul-1983,9.51,10.27,10.95,11.65
Aug-1983,9.57,10.74,11.44,12.01
Sep-1983,9.52,10.10,10.80,11.66
Oct-1983,9.45,9.88,10.76,11.54
Nov-1983,9.63,10.09,10.81,11.62
Dec-1983,10.04,10.33,10.98,11.72
Jan-1984,9.98,10.23,11.02,11.70
Feb-1984,10.04,10.81,11.53,12.30
Mar-1984,10.76,11.44,12.14,13.00
Apr-1984,10.82,11.71,12.52,13.31
May-1984,11.60,13.25,13.39,13.90
Jun-1984,11.98,13.08,13.42,13.86
Jul-1984,13.24,13.04,13.24,13.44
Aug-1984,12.39,12.60,12.68,13.01
Sep-1984,12.28,12.21,12.40,12.68
Oct-1984,11.71,11.55,11.81,12.32
Nov-1984,10.78,10.61,11.28,11.72
Dec-1984,10.16,10.18,10.90,11.52
Jan-1985,9.66,10.21,10.62,11.17
Feb-1985,10.95,11.69,11.66,12.17
Mar-1985,11.18,11.16,11.58,11.90
Apr-1985,9.75,10.70,10.99,11.38
May-1985,9.59,10.14,10.45,10.61
Jun-1985,9.57,10.01,10.41,10.74
Jul-1985,9.31,9.95,10.44,10.73
Aug-1985,9.20,9.81,10.21,10.53
Sep-1985,9.31,9.95,10.39,10.75
Oct-1985,8.77,9.40,9.95,10.47
Nov-1985,8.98,9.26,9.52,9.88
Dec-1985,9.49,8.98,9.20,9.63
Jan-1986,10.33,9.78,9.80,10.18
Feb-1986,11.84,9.71,9.49,9.69
Mar-1986,10.44,9.22,8.97,9.20
Apr-1986,9.27,8.78,8.56,8.87
May-1986,8.43,8.95,8.95,9.08
Jun-1986,8.84,8.69,8.80,8.91
Jul-1986,8.63,9.00,8.88,8.98
Aug-1986,8.58,8.96,8.80,8.81
Sep-1986,8.63,9.10,9.04,9.09
Oct-1986,8.62,8.86,9.01,9.12
Nov-1986,8.47,8.61,8.72,8.79
Dec-1986,8.49,8.55,8.63,8.74
Jan-1987,7.74,7.68,8.06,8.26
Feb-1987,7.59,7.81,8.08,8.39
Mar-1987,7.14,7.54,7.73,8.24
Apr-1987,8.26,9.01,9.18,9.40
May-1987,8.54,9.38,9.26,9.52
Jun-1987,8.59,9.04,9.04,9.31
Jul-1987,8.76,9.77,9.70,9.90
Aug-1987,9.24,9.90,9.91,10.11
Sep-1987,9.57,10.58,10.75,10.90
Oct-1987,8.26,9.38,9.62,9.80
Nov-1987,8.48,9.57,9.88,10.10
Dec-1987,8.66,9.62,9.78,10.02
Jan-1988,8.63,8.98,9.02,9.31
Feb-1988,8.58,8.77,8.77,9.13
Mar-1988,8.78,8.95,9.14,9.61
Apr-1988,9.06,9.23,9.41,9.84
May-1988,9.12,9.44,9.49,9.86
Jun-1988,9.44,9.43,9.50,9.70
Jul-1988,9.53,9.57,9.75,9.96
Aug-1988,10.03,10.36,10.23,10.40
Sep-1988,10.54,10.10,9.97,10.20
Oct-1988,10.51,9.66,9.61,9.77
Nov-1988,10.84,10.31,9.98,10.05
Dec-1988,11.17,10.56,10.27,10.17
Jan-1989,11.54,10.54,10.10,10.01
Feb-1989,11.70,11.36,10.70,10.42
Mar-1989,12.40,11.62,10.82,10.58
Apr-1989,12.61,10.78,10.24,10.19
May-1989,12.40,10.37,9.78,9.71
Jun-1989,12.31,10.01,9.42,9.40
Jul-1989,12.32,9.86,9.35,9.31
Aug-1989,12.40,10.39,9.59,9.51
Sep-1989,12.47,10.46,9.92,9.74
Oct-1989,12.43,10.17,9.56,9.38
Nov-1989,12.47,11.03,10.07,9.73
Dec-1989,12.47,10.92,9.77,9.56
Jan-1990,12.29,10.96,10.02,9.93
Feb-1990,13.25,11.92,11.09,10.64
Mar-1990,13.38,12.22,11.29,10.88
Apr-1990,13.77,12.74,12.23,11.51
May-1990,14.05,12.03,11.39,10.86
Jun-1990,13.90,11.53,11.09,10.64
Jul-1990,13.59,11.56,11.04,10.65
Aug-1990,13.01,10.79,10.63,10.72
Sep-1990,12.61,11.14,11.25,11.42
Oct-1990,12.66,10.99,10.88,11.02
Nov-1990,12.25,10.42,10.43,10.54
Dec-1990,11.78,10.46,10.27,10.34
Jan-1991,10.88,9.94,9.93,10.05
Feb-1991,10.02,9.35,9.46,9.59
Mar-1991,9.92,9.29,9.40,9.55
Apr-1991,9.66,9.30,9.42,9.59
May-1991,9.07,9.11,9.36,9.59
Jun-1991,8.91,9.40,9.73,10.09
Jul-1991,8.94,9.33,9.66,9.90
Aug-1991,8.80,9.00,9.41,9.67
Sep-1991,8.68,8.48,8.97,9.26
Oct-1991,8.17,7.43,8.19,8.74
Nov-1991,7.69,7.63,8.16,8.67
Dec-1991,7.67,7.31,7.87,8.32
Jan-1992,7.08,7.25,7.93,8.28
Feb-1992,7.56,7.35,7.97,8.34
Mar-1992,7.65,7.96,8.52,8.67
Apr-1992,6.85,7.72,8.49,8.86
May-1992,6.50,7.01,7.91,8.49
Jun-1992,5.91,6.42,7.45,8.15
Jul-1992,5.50,5.50,6.53,7.43
Aug-1992,5.11,5.41,6.53,7.38
Sep-1992,5.69,6.93,7.35,7.79
Oct-1992,7.37,5.84,6.76,7.51
Nov-1992,8.82,7.10,7.37,7.88
Dec-1992,7.36,6.93,7.34,7.86
Jan-1993,6.81,6.91,7.39,7.98
Feb-1993,6.09,6.56,6.92,7.45
Mar-1993,5.36,6.41,6.88,7.52
Apr-1993,5.60,6.50,6.97,7.54
May-1993,5.10,6.28,6.86,7.49
Jun-1993,4.79,5.89,6.68,7.34
Jul-1993,4.41,5.39,6.45,7.18
Aug-1993,4.90,5.30,6.18,6.81
Sep-1993,4.90,5.65,6.36,6.99
Oct-1993,4.63,5.06,5.97,6.79
Nov-1993,4.36,5.02,6.01,6.92
Dec-1993,4.11,4.61,5.73,6.57
Jan-1994,3.88,4.18,5.40,6.39
Feb-1994,4.10,5.02,6.12,6.94
Mar-1994,5.64,6.71,7.47,7.95
Apr-1994,6.07,6.84,7.44,7.95
May-1994,6.31,7.42,8.01,8.41
Jun-1994,6.92,8.36,8.82,9.11
Jul-1994,6.04,8.27,8.96,9.36
Aug-1994,5.60,7.60,8.32,8.74
Sep-1994,5.54,7.46,8.36,8.88
Oct-1994,5.62,7.64,8.55,9.14
Nov-1994,6.04,8.01,8.81,9.16
Dec-1994,7.43,8.84,8.99,9.07
Jan-1995,8.38,8.90,9.18,9.34
Feb-1995,8.38,8.06,8.46,8.76
Mar-1995,8.47,7.97,8.23,8.57
Apr-1995,8.17,7.65,7.93,8.31
May-1995,7.64,7.04,7.41,7.88
Jun-1995,6.97,6.74,7.33,7.81
Jul-1995,6.87,7.21,7.79,8.27
Aug-1995,6.59,7.05,7.58,8.00
Sep-1995,6.71,7.05,7.54,7.89
Oct-1995,7.65,6.98,7.54,7.86
Nov-1995,6.07,6.07,6.74,7.19
Dec-1995,5.79,5.89,6.64,7.11
Jan-1996,5.37,5.41,6.33,7.01
Feb-1996,5.50,5.80,6.87,7.53
Mar-1996,5.25,6.14,7.02,7.64
Apr-1996,5.00,6.10,7.09,7.76
May-1996,5.00,6.06,7.01,7.72
Jun-1996,5.00,6.29,7.05,7.77
Jul-1996,4.75,6.01,6.96,7.62
Aug-1996,4.25,5.48,6.60,7.34
Sep-1996,4.25,4.95,6.28,7.16
Oct-1996,3.50,4.28,5.59,6.47
Nov-1996,3.25,3.68,5.10,6.05
Dec-1996,3.25,4.03,5.44,6.37
Jan-1997,3.25,4.44,5.67,6.65
Feb-1997,3.25,4.29,5.44,6.38
Mar-1997,3.25,4.64,5.75,6.59
Apr-1997,3.25,4.80,5.92,6.68
May-1997,3.25,4.66,5.86,6.65
Jun-1997,3.25,4.27,5.32,6.14
Jul-1997,3.50,4.49,5.18,5.80
Aug-1997,3.50,4.26,5.36,6.06
Sep-1997,3.50,4.47,5.17,5.70
Oct-1997,3.75,4.38,4.99,5.49
Nov-1997,4.00,4.63,5.17,5.56
Dec-1997,4.50,5.04,5.34,5.61
Jan-1998,4.50,4.73,5.09,5.41
Feb-1998,5.00,5.05,5.26,5.47
Mar-1998,5.00,4.87,5.11,5.34
Apr-1998,5.00,5.12,5.32,5.49
May-1998,5.00,5.09,5.21,5.34
Jun-1998,5.00,5.20,5.28,5.35
Jul-1998,5.00,5.24,5.42,5.47
Aug-1998,5.00,5.41,5.62,5.67
Sep-1998,5.75,4.70,4.78,4.95
Oct-1998,5.50,4.51,4.69,5.00
Nov-1998,5.25,4.94,5.03,5.18
Dec-1998,5.25,4.72,4.76,4.89
Jan-1999,5.25,4.73,4.76,4.89
Feb-1999,5.25,5.17,5.22,5.26
Mar-1999,5.00,4.82,4.95,5.05
Apr-1999,5.00,4.78,4.98,5.14
May-1999,4.75,5.14,5.34,5.42
Jun-1999,4.75,5.10,5.35,5.46
Jul-1999,4.75,5.34,5.53,5.62
Aug-1999,4.75,5.37,5.51,5.55
Sep-1999,4.75,5.43,5.67,5.77
Oct-1999,4.75,5.99,6.20,6.26
Nov-1999,5.00,5.76,5.98,6.02
Dec-1999,5.00,5.85,6.11,6.18
Jan-2000,5.00,6.07,6.38,6.44
Feb-2000,5.25,6.08,6.29,6.19
Mar-2000,5.50,6.01,6.13,6.03
Apr-2000,5.50,6.03,6.17,6.10
May-2000,6.00,6.19,6.17,6.00
Jun-2000,6.00,6.01,6.04,5.93
Jul-2000,6.00,5.95,6.00,5.86
Aug-2000,6.00,5.88,5.92,5.77
Sep-2000,6.00,5.69,5.76,5.75
Oct-2000,6.00,5.69,5.75,5.72
Nov-2000,6.00,5.64,5.59,5.54
Dec-2000,6.00,5.27,5.30,5.35
Jan-2001,5.75,4.88,5.14,5.39
Feb-2001,5.75,4.81,5.09,5.36
Mar-2001,5.25,4.69,5.03,5.41
Apr-2001,5.00,4.76,5.23,5.66
May-2001,4.75,4.99,5.61,5.96
Jun-2001,4.75,4.87,5.39,5.73
Jul-2001,4.50,4.73,5.36,5.76
Aug-2001,4.25,4.26,4.93,5.36
Sep-2001,3.75,3.38,4.62,5.32
Oct-2001,3.00,2.92,4.08,4.86
Nov-2001,2.50,3.37,4.68,5.36
Dec-2001,2.50,3.21,4.69,5.44
Jan-2002,2.25,3.25,4.71,5.42
Feb-2002,2.25,3.23,4.58,5.31
Mar-2002,2.25,4.50,5.28,5.79
Apr-2002,2.50,4.21,5.05,5.64
May-2002,2.50,4.15,4.90,5.49
Jun-2002,2.75,3.84,4.67,5.37
Jul-2002,3.00,3.32,4.30,5.23
Aug-2002,3.00,3.53,4.49,5.14
Sep-2002,3.00,3.48,4.20,4.92
Oct-2002,3.00,3.39,4.34,5.16
Nov-2002,3.00,3.47,4.39,5.18
Dec-2002,3.00,3.18,4.06,4.88
Jan-2003,3.00,3.51,4.27,5.02
Feb-2003,3.00,3.45,4.18,4.93
Mar-2003,3.25,3.84,4.47,5.13
Apr-2003,3.50,3.65,4.18,4.90
May-2003,3.50,3.17,3.72,4.50
